N,P,K,temperature,humidity,ph,label
90,42,43,20.87,82.00,6.50,rice
85,58,41,21.77,80.31,7.04,rice
60,55,44,23.00,82.32,7.84,rice
74,35,40,26.49,80.16,6.98,rice
78,42,42,20.13,81.60,7.63,rice
69,37,42,23.05,83.58,7.07,rice
69,55,38,22.70,82.63,5.70,rice
94,53,40,20.27,82.89,5.72,rice
89,54,38,24.51,83.54,6.42,rice
68,58,38,23.22,83.03,6.33,rice
91,47,36,24.12,81.40,7.09,rice
80,40,38,21.50,80.00,6.80,rice
75,48,42,22.30,79.50,7.20,rice
82,44,40,25.00,84.00,6.60,rice
70,50,35,23.80,82.00,7.00,rice
88,52,44,21.00,81.00,6.90,rice
76,46,39,24.50,83.50,7.10,rice
65,38,41,22.00,80.50,6.70,rice
92,56,43,20.50,82.50,7.30,rice
72,41,37,23.50,81.50,6.40,rice
83,49,45,26.00,84.50,7.50,rice
77,36,36,21.80,79.00,6.20,rice
67,57,40,22.50,83.00,7.40,rice
95,45,41,20.00,82.00,6.00,rice
71,39,44,24.00,80.80,7.20,rice
86,51,39,25.50,83.20,6.80,rice
79,43,42,22.80,81.80,7.00,rice
73,54,37,23.20,82.40,6.50,rice
87,47,43,21.20,80.20,7.10,rice
64,40,40,24.80,84.00,6.90,rice
81,38,45,20.50,85.50,5.58,maize
77,48,20,23.48,65.10,6.24,maize
79,46,24,23.16,65.91,6.05,maize
74,54,27,26.26,66.47,6.74,maize
72,43,28,24.10,67.20,6.30,maize
83,50,22,22.80,64.50,6.50,maize
76,41,25,25.00,66.00,6.10,maize
85,52,21,23.00,65.80,6.80,maize
70,47,26,24.50,67.50,5.90,maize
78,44,23,22.50,65.30,6.40,maize
80,56,19,21.80,64.80,6.60,maize
73,39,29,25.50,67.80,6.20,maize
82,51,24,23.50,66.20,5.80,maize
75,45,22,24.00,65.50,6.70,maize
71,49,27,26.00,67.00,6.00,maize
84,53,20,22.00,64.20,6.90,maize
77,40,26,23.80,66.50,6.30,maize
86,47,23,21.50,64.00,6.50,maize
69,55,28,25.80,68.00,6.10,maize
81,42,25,24.20,66.80,5.70,maize
87,46,21,22.30,64.50,6.40,maize
74,50,24,23.80,65.70,6.80,maize
79,43,26,25.20,67.30,6.00,maize
